date,IGP-DI,IGP-M,INPC,IPC-Br,IPCA
2009-08-01,0.09,-0.36,0.08,0.2,0.15
2009-09-01,0.25,0.42,0.16,0.18,0.24
2009-10-01,-0.04,0.05,0.24,0.01,0.28
2009-11-01,0.07,0.1,0.37,0.26,0.41
2009-12-01,-0.11,-0.26,0.24,0.24,0.37
2010-01-01,1.01,0.63,0.88,1.29,0.75
2010-02-01,1.09,1.18,0.7,0.68,0.78
2010-03-01,0.63,0.94,0.71,0.86,0.52
2010-04-01,0.72,0.77,0.73,0.76,0.57
2010-05-01,1.57,1.19,0.43,0.21,0.43
2010-06-01,0.34,0.85,-0.11,-0.21,0
2010-07-01,0.22,0.15,-0.07,-0.21,0.01
2010-08-01,1.1,0.77,-0.07,-0.08,0.04
2010-09-01,1.1,1.15,0.54,0.46,0.45
2010-10-01,1.03,1.01,0.92,0.59,0.75
2010-11-01,1.58,1.45,1.03,1,0.83
2010-12-01,0.38,0.69,0.6,0.72,0.63
2011-01-01,0.98,0.79,0.94,1.27,0.83
2011-02-01,0.96,1,0.54,0.49,0.8
2011-03-01,0.61,0.62,0.66,0.71,0.79
2011-04-01,0.5,0.45,0.72,0.95,0.77
2011-05-01,0.01,0.43,0.57,0.51,0.47
2011-06-01,-0.13,-0.18,0.22,-0.18,0.15
2011-07-01,-0.05,-0.12,0,-0.04,0.16
2011-08-01,0.61,0.44,0.42,0.4,0.37
2011-09-01,0.75,0.65,0.45,0.5,0.53
2011-10-01,0.4,0.53,0.32,0.26,0.43
2011-11-01,0.43,0.5,0.57,0.53,0.52
2011-12-01,-0.16,-0.12,0.51,0.79,0.5
2012-01-01,0.3,0.25,0.51,0.81,0.56
2012-02-01,0.07,-0.06,0.39,0.24,0.45
2012-03-01,0.56,0.43,0.18,0.6,0.21
2012-04-01,1.02,0.85,0.64,0.52,0.64
2012-05-01,0.91,1.02,0.55,0.52,0.36
2012-06-01,0.69,0.66,0.26,0.11,0.08
2012-07-01,1.52,1.34,0.43,0.22,0.43
2012-08-01,1.29,1.43,0.45,0.44,0.41
2012-09-01,0.88,0.97,0.63,0.54,0.57
2012-10-01,-0.31,0.02,0.71,0.48,0.59
2012-11-01,0.25,-0.03,0.54,0.45,0.6
2012-12-01,0.66,0.68,0.74,0.66,0.79
2013-01-01,0.31,0.34,0.92,1.01,0.86
2013-02-01,0.2,0.29,0.52,0.33,0.6
2013-03-01,0.31,0.21,0.6,0.72,0.47
2013-04-01,-0.06,0.15,0.59,0.52,0.55
2013-05-01,0.32,0,0.35,0.32,0.37
2013-06-01,0.76,0.75,0.28,0.35,0.26
2013-07-01,0.14,0.26,-0.13,-0.17,0.03
2013-08-01,0.46,0.15,0.16,0.2,0.24
2013-09-01,1.36,1.5,0.27,0.3,0.35
2013-10-01,0.63,0.86,0.61,0.55,0.57
2013-11-01,0.28,0.29,0.54,0.68,0.54
2013-12-01,0.69,0.6,0.72,0.69,0.92
2014-01-01,0.4,0.48,0.63,0.99,0.55
2014-02-01,0.85,0.38,0.64,0.66,0.69
2014-03-01,1.48,1.67,0.82,0.85,0.92
2014-04-01,0.45,0.78,0.78,0.77,0.67
2014-05-01,-0.45,-0.13,0.6,0.52,0.46
2014-06-01,-0.63,-0.74,0.26,0.33,0.4
2014-07-01,-0.55,-0.61,0.13,0.1,0.01
2014-08-01,0.06,-0.27,0.18,0.12,0.25
2014-09-01,0.02,0.2,0.49,0.49,0.57
2014-10-01,0.59,0.28,0.38,0.43,0.42
2014-11-01,1.14,0.98,0.53,0.65,0.51
2014-12-01,0.38,0.62,0.62,0.75,0.78
2015-01-01,0.67,0.76,1.48,1.73,1.24
2015-02-01,0.53,0.27,1.16,0.97,1.22
2015-03-01,1.21,0.98,1.51,1.41,1.32
2015-04-01,0.92,1.17,0.71,0.61,0.71
2015-05-01,0.4,0.41,0.99,0.72,0.74
2015-06-01,0.68,0.67,0.77,0.82,0.79
2015-07-01,0.58,0.69,0.58,0.53,0.62
2015-08-01,0.4,0.28,0.25,0.22,0.22
2015-09-01,1.42,0.95,0.51,0.42,0.54
2015-10-01,1.76,1.89,0.77,0.76,0.82
2015-11-01,1.19,1.52,1.11,1,1.01
2015-12-01,0.44,0.49,0.9,0.88,0.96
2016-01-01,1.53,1.14,1.51,1.78,1.27
2016-02-01,0.79,1.29,0.95,0.76,0.9
2016-03-01,0.43,0.51,0.44,0.5,0.43
2016-04-01,0.36,0.33,0.64,0.49,0.61
2016-05-01,1.13,0.82,0.98,0.64,0.78
2016-06-01,1.63,1.69,0.47,0.26,0.35
2016-07-01,-0.39,0.18,0.64,0.37,0.52
2016-08-01,0.43,0.15,0.31,0.32,0.44
2016-09-01,0.03,0.2,0.08,0.07,0.08
2016-10-01,0.13,0.16,0.17,0.34,0.26
2016-11-01,0.05,-0.03,0.07,0.17,0.18
2016-12-01,0.83,0.54,0.14,0.33,0.3
2017-01-01,0.43,0.64,0.42,0.69,0.38
2017-02-01,0.06,0.08,0.24,0.31,0.33
2017-03-01,-0.38,0.01,0.32,0.47,0.25
2017-04-01,-1.24,-1.1,0.08,0.12,0.14
2017-05-01,-0.51,-0.93,0.36,0.52,0.31
2017-06-01,-0.96,-0.67,-0.3,-0.32,-0.23
2017-07-01,-0.3,-0.72,0.17,0.38,0.24
2017-08-01,0.24,0.1,-0.03,0.13,0.19
2017-09-01,0.62,0.47,-0.02,-0.02,0.16
2017-10-01,0.1,0.2,0.37,0.33,0.42
2017-11-01,0.8,0.52,0.18,0.36,0.28
2017-12-01,0.74,0.89,0.26,0.21,0.44
2018-01-01,0.58,0.76,0.23,0.69,0.29
2018-02-01,0.15,0.07,0.18,0.17,0.32
2018-03-01,0.56,0.64,0.07,0.17,0.09
2018-04-01,0.93,0.57,0.21,0.34,0.22
2018-05-01,1.64,1.38,0.43,0.41,0.4
2018-06-01,1.48,1.87,1.43,1.19,1.26
2018-07-01,0.44,0.51,0.25,0.17,0.33
2018-08-01,0.68,0.7,0,0.07,-0.09
2018-09-01,1.79,1.52,0.3,0.45,0.48
2018-10-01,0.26,0.89,0.4,0.48,0.45
2018-11-01,-1.14,-0.49,-0.25,-0.17,-0.21
2018-12-01,-0.45,-1.08,0.14,0.29,0.15
2019-01-01,0.07,0.01,0.36,0.57,0.32
2019-02-01,1.25,0.88,0.54,0.35,0.43
2019-03-01,1.07,1.26,0.77,0.65,0.75
2019-04-01,0.9,0.92,0.6,0.63,0.57
2019-05-01,0.4,0.45,0.15,0.22,0.13
2019-06-01,0.63,0.8,0.01,-0.02,0.01
2019-07-01,-0.01,0.4,0.1,0.31,0.19
2019-08-01,-0.51,-0.67,0.12,0.17,0.11
2019-09-01,0.5,-0.01,-0.05,0,-0.04
2019-10-01,0.55,0.68,0.04,-0.09,0.1
2019-11-01,0.85,0.3,0.54,0.49,0.51
2019-12-01,1.74,2.09,1.22,0.77,1.15
2020-01-01,0.09,0.48,0.19,0.59,0.21
2020-02-01,0.01,-0.04,0.17,-0.01,0.25
2020-03-01,1.64,1.24,0.18,0.34,0.07
2020-04-01,0.05,0.8,-0.23,-0.18,-0.31
2020-05-01,1.07,0.28,-0.25,-0.54,-0.38
2020-06-01,1.6,1.56,0.3,0.36,0.26
2020-07-01,2.34,2.23,0.44,0.49,0.36
2020-08-01,3.87,2.74,0.36,0.53,0.24
2020-09-01,3.3,4.34,0.87,0.82,0.64
2020-10-01,3.68,3.23,0.89,0.65,0.86
2020-11-01,2.64,3.28,0.95,0.94,0.89
2020-12-01,0.76,0.96,1.46,1.07,1.35
2021-01-01,2.91,2.58,0.27,0.27,0.25
2021-02-01,2.71,2.53,0.82,0.54,0.86
2021-03-01,2.17,2.94,0.86,1,0.93
2021-04-01,2.22,1.51,0.38,0.23,0.31
2021-05-01,3.4,4.1,0.96,0.81,0.83
2021-06-01,0.11,0.6,0.6,0.64,0.53
2021-07-01,1.45,0.78,1.02,0.92,0.96
2021-08-01,-0.14,0.66,0.88,0.71,0.87
2021-09-01,-0.55,-0.64,1.2,1.43,1.16
2021-10-01,1.6,0.64,1.16,0.77,1.25
2021-11-01,-0.58,0.02,0.84,1.08,0.95
2021-12-01,1.25,0.87,0.73,0.57,0.73
2022-01-01,2.01,1.82,0.67,0.49,0.54
2022-02-01,1.5,1.83,1,0.28,1.01
2022-03-01,2.37,1.74,1.71,1.35,1.62
2022-04-01,0.41,1.41,1.04,1.08,1.06
2022-05-01,0.69,0.52,0.45,0.5,0.47
2022-06-01,0.62,0.59,0.62,0.67,0.67
2022-07-01,-0.38,0.21,-0.6,-1.19,-0.68
2022-08-01,-0.55,-0.7,-0.31,-0.57,-0.36
2022-09-01,-1.22,-0.95,-0.32,0.02,-0.29
2022-10-01,-0.62,-0.97,0.47,0.69,0.59
2022-11-01,-0.18,-0.56,0.38,0.57,0.41
2022-12-01,0.31,0.45,0.69,0.35,0.62
2023-01-01,0.06,0.21,0.46,0.8,0.53
2023-02-01,0.04,-0.06,0.77,0.34,0.84
2023-03-01,-0.34,0.05,0.64,0.74,0.71
2023-04-01,-1.01,-0.95,0.53,0.5,0.61
2023-05-01,-2.33,-1.84,0.36,0.08,0.23
2023-06-01,-1.45,-1.93,-0.1,-0.1,-0.08
2023-07-01,-0.4,-0.72,-0.09,0.07,0.12
2023-08-01,0.05,-0.14,0.2,-0.22,0.23
2023-09-01,0.45,0.37,0.11,0.27,0.26
2023-10-01,0.51,0.5,0.12,0.45,0.24
2023-11-01,0.5,0.59,0.1,0.27,0.28
2023-12-01,0.64,0.74,0.55,0.29,0.56
2024-01-01,-0.27,0.07,0.57,0.61,0.42
2024-02-01,-0.41,-0.52,0.81,0.55,0.83
2024-03-01,-0.3,-0.47,0.19,0.1,0.16
2024-04-01,0.72,0.31,0.37,0.42,0.38
2024-05-01,0.87,0.89,0.46,0.53,0.46
2024-06-01,0.5,0.81,0.25,0.22,0.21
2024-07-01,0.83,0.61,0.26,0.54,0.38
2024-08-01,0.12,0.29,-0.14,-0.16,-0.02
2024-09-01,1.03,0.62,0.48,0.63,0.44
2024-10-01,1.54,1.52,0.61,0.3,0.56
2024-11-01,1.18,1.3,0.33,-0.13,0.39
2024-12-01,0.87,0.94,0.48,0.31,0.52
2025-01-01,0.11,0.27,0,0.02,0.16
2025-02-01,1,1.06,1.48,1.18,1.31
2025-03-01,-0.5,-0.34,0.51,0.44,0.56
2025-04-01,0.3,0.24,0.48,0.52,0.43
2025-05-01,-0.85,-0.49,0.35,0.34,0.26
2025-06-01,-1.8,-1.67,0.23,0.16,0.24
2025-07-01,-0.07,-0.77,0.21,0.37,0.26
2025-08-01,0.2,0.36,-0.21,-0.44,-0.11
2025-09-01,0.36,0.42,0.52,0.65,0.48
2025-10-01,NA,-0.36,NA,NA,NA
